,City,Site_Name,Collection_Date,MeV_gc_g_dry_weight,MeV_gc_g_dry_weight_UCI,MeV_gc_g_dry_weight_LCI
4220,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-16,0.0,0.0,0.0
4221,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-19,0.0,0.0,0.0
4222,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-21,0.0,0.0,0.0
4223,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
4224,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-26,0.0,0.0,0.0
4225,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-28,0.0,0.0,0.0
4226,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-30,0.0,0.0,0.0
4227,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-02,0.0,0.0,0.0
4228,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-04,0.0,0.0,0.0
4229,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-06,0.0,0.0,0.0
4230,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-09,0.0,0.0,0.0
4231,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-11,0.0,0.0,0.0
4232,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-13,0.0,0.0,0.0
4233,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-16,0.0,0.0,0.0
4234,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-18,0.0,0.0,0.0
4235,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-20,0.0,0.0,0.0
4236,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-23,0.0,0.0,0.0
4551,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-16,0.0,0.0,0.0
4552,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-19,0.0,0.0,0.0
4553,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-21,0.0,0.0,0.0
4554,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-23,0.0,0.0,0.0
4555,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-26,0.0,0.0,0.0
4556,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-28,0.0,0.0,0.0
4557,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-30,0.0,0.0,0.0
4558,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-02,0.0,0.0,0.0
4559,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-04,0.0,0.0,0.0
4560,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-06,0.0,0.0,0.0
4561,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-09,0.0,0.0,0.0
4562,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-11,0.0,0.0,0.0
4563,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-13,0.0,0.0,0.0
4564,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-16,0.0,0.0,0.0
4565,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-18,0.0,0.0,0.0
4566,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-20,0.0,0.0,0.0
4567,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-23,0.0,0.0,0.0
7552,Jenison,Grandville Clean Water Plant,2025-05-16,0.0,0.0,0.0
7553,Jenison,Grandville Clean Water Plant,2025-05-18,0.0,0.0,0.0
7554,Jenison,Grandville Clean Water Plant,2025-05-21,0.0,0.0,0.0
7555,Jenison,Grandville Clean Water Plant,2025-05-23,0.0,0.0,0.0
7556,Jenison,Grandville Clean Water Plant,2025-05-26,0.0,0.0,0.0
7557,Jenison,Grandville Clean Water Plant,2025-05-28,0.0,0.0,0.0
7558,Jenison,Grandville Clean Water Plant,2025-05-30,0.0,0.0,0.0
7559,Jenison,Grandville Clean Water Plant,2025-06-02,0.0,0.0,0.0
7560,Jenison,Grandville Clean Water Plant,2025-06-04,0.0,0.0,0.0
7561,Jenison,Grandville Clean Water Plant,2025-06-06,0.0,0.0,0.0
7562,Jenison,Grandville Clean Water Plant,2025-06-09,0.0,0.0,0.0
7563,Jenison,Grandville Clean Water Plant,2025-06-11,0.0,0.0,0.0
7564,Jenison,Grandville Clean Water Plant,2025-06-13,0.0,0.0,0.0
7565,Jenison,Grandville Clean Water Plant,2025-06-16,0.0,0.0,0.0
7566,Jenison,Grandville Clean Water Plant,2025-06-18,0.0,0.0,0.0
7567,Jenison,Grandville Clean Water Plant,2025-06-20,0.0,0.0,0.0
7568,Jenison,Grandville Clean Water Plant,2025-06-23,0.0,0.0,0.0
