,City,Site_Name,Collection_Date,MeV_gc_g_dry_weight,MeV_gc_g_dry_weight_UCI,MeV_gc_g_dry_weight_LCI
4210,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-16,0.0,0.0,0.0
4211,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-19,0.0,0.0,0.0
4212,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-21,0.0,0.0,0.0
4213,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
4214,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-26,0.0,0.0,0.0
4215,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-28,0.0,0.0,0.0
4216,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-30,0.0,0.0,0.0
4217,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-02,0.0,0.0,0.0
4218,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-04,0.0,0.0,0.0
4219,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-06,0.0,0.0,0.0
4220,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-09,0.0,0.0,0.0
4221,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-11,0.0,0.0,0.0
4222,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-13,0.0,0.0,0.0
4223,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-16,0.0,0.0,0.0
4224,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-18,0.0,0.0,0.0
4539,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-16,0.0,0.0,0.0
4540,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-19,0.0,0.0,0.0
4541,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-21,0.0,0.0,0.0
4542,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-23,0.0,0.0,0.0
4543,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-26,0.0,0.0,0.0
4544,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-28,0.0,0.0,0.0
4545,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-30,0.0,0.0,0.0
4546,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-02,0.0,0.0,0.0
4547,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-04,0.0,0.0,0.0
4548,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-06,0.0,0.0,0.0
4549,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-09,0.0,0.0,0.0
4550,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-11,0.0,0.0,0.0
4551,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-13,0.0,0.0,0.0
4552,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-16,0.0,0.0,0.0
4553,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-18,0.0,0.0,0.0
7526,Jenison,Grandville Clean Water Plant,2025-05-16,0.0,0.0,0.0
7527,Jenison,Grandville Clean Water Plant,2025-05-18,0.0,0.0,0.0
7528,Jenison,Grandville Clean Water Plant,2025-05-21,0.0,0.0,0.0
7529,Jenison,Grandville Clean Water Plant,2025-05-23,0.0,0.0,0.0
7530,Jenison,Grandville Clean Water Plant,2025-05-26,0.0,0.0,0.0
7531,Jenison,Grandville Clean Water Plant,2025-05-28,0.0,0.0,0.0
7532,Jenison,Grandville Clean Water Plant,2025-05-30,0.0,0.0,0.0
7533,Jenison,Grandville Clean Water Plant,2025-06-02,0.0,0.0,0.0
7534,Jenison,Grandville Clean Water Plant,2025-06-04,0.0,0.0,0.0
7535,Jenison,Grandville Clean Water Plant,2025-06-06,0.0,0.0,0.0
7536,Jenison,Grandville Clean Water Plant,2025-06-09,0.0,0.0,0.0
7537,Jenison,Grandville Clean Water Plant,2025-06-11,0.0,0.0,0.0
7538,Jenison,Grandville Clean Water Plant,2025-06-13,0.0,0.0,0.0
7539,Jenison,Grandville Clean Water Plant,2025-06-16,0.0,0.0,0.0
7540,Jenison,Grandville Clean Water Plant,2025-06-18,0.0,0.0,0.0
10707,Warren,City of Warren Wastewater Treatment Plant,2025-05-15,0.0,0.0,0.0
10708,Warren,City of Warren Wastewater Treatment Plant,2025-05-19,0.0,0.0,0.0
10709,Warren,City of Warren Wastewater Treatment Plant,2025-05-20,0.0,0.0,0.0
10710,Warren,City of Warren Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
10711,Warren,City of Warren Wastewater Treatment Plant,2025-05-27,0.0,0.0,0.0
10712,Warren,City of Warren Wastewater Treatment Plant,2025-05-28,0.0,0.0,0.0
10713,Warren,City of Warren Wastewater Treatment Plant,2025-06-02,0.0,0.0,0.0
10714,Warren,City of Warren Wastewater Treatment Plant,2025-06-03,0.0,0.0,0.0
