,City,Site_Name,Collection_Date,MeV_gc_g_dry_weight,MeV_gc_g_dry_weight_UCI,MeV_gc_g_dry_weight_LCI
4217,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-16,0.0,0.0,0.0
4218,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-19,0.0,0.0,0.0
4219,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-21,0.0,0.0,0.0
4220,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
4221,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-26,0.0,0.0,0.0
4222,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-28,0.0,0.0,0.0
4223,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-05-30,0.0,0.0,0.0
4224,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-02,0.0,0.0,0.0
4225,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-04,0.0,0.0,0.0
4226,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-06,0.0,0.0,0.0
4227,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-09,0.0,0.0,0.0
4228,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-11,0.0,0.0,0.0
4229,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-13,0.0,0.0,0.0
4230,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-16,0.0,0.0,0.0
4231,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-18,0.0,0.0,0.0
4232,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-20,0.0,0.0,0.0
4233,Ann Arbor,City of Ann Arbor Wastewater Treatment Plant,2025-06-23,0.0,0.0,0.0
4548,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-16,0.0,0.0,0.0
4549,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-19,0.0,0.0,0.0
4550,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-21,0.0,0.0,0.0
4551,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-23,0.0,0.0,0.0
4552,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-26,0.0,0.0,0.0
4553,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-28,0.0,0.0,0.0
4554,Mt. Pleasant,Mt. Pleasant WRRF,2025-05-30,0.0,0.0,0.0
4555,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-02,0.0,0.0,0.0
4556,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-04,0.0,0.0,0.0
4557,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-06,0.0,0.0,0.0
4558,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-09,0.0,0.0,0.0
4559,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-11,0.0,0.0,0.0
4560,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-13,0.0,0.0,0.0
4561,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-16,0.0,0.0,0.0
4562,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-18,0.0,0.0,0.0
4563,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-20,0.0,0.0,0.0
4564,Mt. Pleasant,Mt. Pleasant WRRF,2025-06-23,0.0,0.0,0.0
7545,Jenison,Grandville Clean Water Plant,2025-05-16,0.0,0.0,0.0
7546,Jenison,Grandville Clean Water Plant,2025-05-18,0.0,0.0,0.0
7547,Jenison,Grandville Clean Water Plant,2025-05-21,0.0,0.0,0.0
7548,Jenison,Grandville Clean Water Plant,2025-05-23,0.0,0.0,0.0
7549,Jenison,Grandville Clean Water Plant,2025-05-26,0.0,0.0,0.0
7550,Jenison,Grandville Clean Water Plant,2025-05-28,0.0,0.0,0.0
7551,Jenison,Grandville Clean Water Plant,2025-05-30,0.0,0.0,0.0
7552,Jenison,Grandville Clean Water Plant,2025-06-02,0.0,0.0,0.0
7553,Jenison,Grandville Clean Water Plant,2025-06-04,0.0,0.0,0.0
7554,Jenison,Grandville Clean Water Plant,2025-06-06,0.0,0.0,0.0
7555,Jenison,Grandville Clean Water Plant,2025-06-09,0.0,0.0,0.0
7556,Jenison,Grandville Clean Water Plant,2025-06-11,0.0,0.0,0.0
7557,Jenison,Grandville Clean Water Plant,2025-06-13,0.0,0.0,0.0
7558,Jenison,Grandville Clean Water Plant,2025-06-16,0.0,0.0,0.0
7559,Jenison,Grandville Clean Water Plant,2025-06-18,0.0,0.0,0.0
7560,Jenison,Grandville Clean Water Plant,2025-06-20,0.0,0.0,0.0
7561,Jenison,Grandville Clean Water Plant,2025-06-23,0.0,0.0,0.0
10742,Warren,City of Warren Wastewater Treatment Plant,2025-05-15,0.0,0.0,0.0
10743,Warren,City of Warren Wastewater Treatment Plant,2025-05-19,0.0,0.0,0.0
10744,Warren,City of Warren Wastewater Treatment Plant,2025-05-20,0.0,0.0,0.0
10745,Warren,City of Warren Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
10746,Warren,City of Warren Wastewater Treatment Plant,2025-05-27,0.0,0.0,0.0
10747,Warren,City of Warren Wastewater Treatment Plant,2025-05-28,0.0,0.0,0.0
10748,Warren,City of Warren Wastewater Treatment Plant,2025-06-02,0.0,0.0,0.0
10749,Warren,City of Warren Wastewater Treatment Plant,2025-06-03,0.0,0.0,0.0
10750,Warren,City of Warren Wastewater Treatment Plant,2025-06-05,0.0,0.0,0.0
10751,Warren,City of Warren Wastewater Treatment Plant,2025-06-09,0.0,0.0,0.0
10752,Warren,City of Warren Wastewater Treatment Plant,2025-06-11,0.0,0.0,0.0
10753,Warren,City of Warren Wastewater Treatment Plant,2025-06-12,0.0,0.0,0.0
10754,Warren,City of Warren Wastewater Treatment Plant,2025-06-16,0.0,0.0,0.0
10755,Warren,City of Warren Wastewater Treatment Plant,2025-06-17,0.0,0.0,0.0
10756,Warren,City of Warren Wastewater Treatment Plant,2025-06-18,0.0,0.0,0.0
12417,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-15,0.0,0.0,0.0
12418,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-19,0.0,0.0,0.0
12419,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-21,0.0,0.0,0.0
12420,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-22,0.0,0.0,0.0
12421,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-27,0.0,0.0,0.0
12422,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-28,0.0,0.0,0.0
12423,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-05-29,0.0,0.0,0.0
12424,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-02,0.0,0.0,0.0
12425,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-04,0.0,0.0,0.0
12426,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-05,0.0,0.0,0.0
12427,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-09,42590.448520138416,51478.34294615918,34790.74603017301
12428,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-11,0.0,0.0,0.0
12429,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-12,0.0,0.0,0.0
12430,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-16,0.0,0.0,0.0
12431,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-18,7222.436379208558,11536.14602660963,3600.1118610481294
12432,Traverse City,Traverse City Regional Waste Water Treatment Plant,2025-06-19,0.0,0.0,0.0
21143,Jackson,Jackson Wastewater Treatment Plant,2025-05-15,0.0,0.0,0.0
21144,Jackson,Jackson Wastewater Treatment Plant,2025-05-18,0.0,0.0,0.0
21145,Jackson,Jackson Wastewater Treatment Plant,2025-05-20,0.0,0.0,0.0
21146,Jackson,Jackson Wastewater Treatment Plant,2025-05-22,0.0,0.0,0.0
21147,Jackson,Jackson Wastewater Treatment Plant,2025-05-24,0.0,0.0,0.0
21148,Jackson,Jackson Wastewater Treatment Plant,2025-05-27,0.0,0.0,0.0
21149,Jackson,Jackson Wastewater Treatment Plant,2025-05-29,0.0,0.0,0.0
21150,Jackson,Jackson Wastewater Treatment Plant,2025-06-01,0.0,0.0,0.0
21151,Jackson,Jackson Wastewater Treatment Plant,2025-06-03,0.0,0.0,0.0
21152,Jackson,Jackson Wastewater Treatment Plant,2025-06-05,0.0,0.0,0.0
21153,Jackson,Jackson Wastewater Treatment Plant,2025-06-08,0.0,0.0,0.0
21154,Jackson,Jackson Wastewater Treatment Plant,2025-06-10,0.0,0.0,0.0
21155,Jackson,Jackson Wastewater Treatment Plant,2025-06-12,0.0,0.0,0.0
21156,Jackson,Jackson Wastewater Treatment Plant,2025-06-15,0.0,0.0,0.0
21157,Jackson,Jackson Wastewater Treatment Plant,2025-06-17,0.0,0.0,0.0
21158,Jackson,Jackson Wastewater Treatment Plant,2025-06-19,0.0,0.0,0.0
